"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-01","2010","01","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-02","2010","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-03","2010","01","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-04","2010","01","04","†","","","","","","","","","","","0.0","","3.0","","3.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-05","2010","01","05","†","","","","","","","","","","","0.0","","2.0","","2.0","","16","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-06","2010","01","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-07","2010","01","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-08","2010","01","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-09","2010","01","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-10","2010","01","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-11","2010","01","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","6","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-12","2010","01","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","3","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-13","2010","01","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","2","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-14","2010","01","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-15","2010","01","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-16","2010","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-17","2010","01","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-18","2010","01","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-19","2010","01","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-20","2010","01","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-21","2010","01","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-22","2010","01","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-114.06","50.91","CALGARY MIDNAPORE","3031078","2010-01-23","2010","01","23","†","","","","","","","","","","","0.0","","1.0","","1.0","","0","","","","",""
