Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-01,2021,1,1,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-02,2021,1,2,,7,,1.2,,4.1,,13.9,,0,,,,,,0,,,,25,,97,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-03,2021,1,3,,3.4,,-1.4,,1,,17,,0,,,,,,0,,,,27,,75,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-04,2021,1,4,,3.3,,-3,,0.2,,17.8,,0,,,,,,0,,,,27,,40,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-05,2021,1,5,,4.8,,-3.3,,0.7,,17.3,,0,,,,,,0,,,,28,,48,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-06,2021,1,6,,6.9,,-1.8,,2.6,,15.4,,0,,,,,,0,,,,25,,43,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-07,2021,1,7,,2.5,,-5.8,,-1.6,,19.6,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-08,2021,1,8,,-0.9,,-8,,-4.4,,22.4,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-09,2021,1,9,,0.6,,-7.8,,-3.6,,21.6,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-10,2021,1,10,,7.3,,-9.2,,-0.9,,18.9,,0,,,,,,0,,,,29,,40,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-11,2021,1,11,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-12,2021,1,12,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-13,2021,1,13,,8.6,,-2.8,,2.9,,15.1,,0,,,,,,0.4,,,,26,,87,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-14,2021,1,14,,1.4,,-8,,-3.3,,21.3,,0,,,,,,0,,,,29,,47,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-15,2021,1,15,,7.2,,-8,,-0.4,,18.4,,0,,,,,,0,,,,32,,47,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-16,2021,1,16,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-17,2021,1,17,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-18,2021,1,18,,2.2,,-5.5,,-1.6,,19.6,,0,,,,,,0,,,,36,,40,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-19,2021,1,19,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-20,2021,1,20,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-21,2021,1,21,,-2.3,,-10,,-6.1,,24.1,,0,,,,,,0.5,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-22,2021,1,22,,-4.6,,-14.3,,-9.5,,27.5,,0,,,,,,0.5,,,,1,,33,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-23,2021,1,23,,-3.7,,-15.9,,-9.8,,27.8,,0,,,,,,0,,,,9,,36,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-24,2021,1,24,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-25,2021,1,25,,-12.7,,-16.8,,-14.7,,32.7,,0,,,,,,0.4,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-26,2021,1,26,,-12.1,,-16.9,,-14.5,,32.5,,0,,,,,,1.5,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-27,2021,1,27,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-28,2021,1,28,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-29,2021,1,29,,-1.7,,-18.3,,-10,,28,,0,,,,,,1.1,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-30,2021,1,30,,2.1,,-10.7,,-4.3,,22.3,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-01-31,2021,1,31,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-01,2021,2,1,,9.1,,-6.9,,1.1,,16.9,,0,,,,,,0,,,,16,,31,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-02,2021,2,2,,-1.6,,-13.1,,-7.3,,25.3,,0,,,,,,3.8,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-03,2021,2,3,,-10.9,,-16.1,,-13.5,,31.5,,0,,,,,,6.3,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-04,2021,2,4,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-05,2021,2,5,,-7.1,,-21.4,,-14.2,,32.2,,0,,,,,,0.9,,,,5,,56,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-06,2021,2,6,,-20.9,,-23.9,,-22.4,,40.4,,0,,,,,,2.1,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-07,2021,2,7,,-22.2,,-29.3,,-25.8,,43.8,,0,,,,,,1.4,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-08,2021,2,8,,-23.6,,-28.6,,-26.1,,44.1,,0,,,,,,1,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-09,2021,2,9,,-23.9,,-31.1,,-27.5,,45.5,,0,,,,,,0.9,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-10,2021,2,10,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-11,2021,2,11,,-23.6,,-33.4,,-28.5,,46.5,,0,,,,,,2,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-12,2021,2,12,,-16.7,,-28.8,,-22.8,,40.8,,0,,,,,,0.6,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-13,2021,2,13,,-16.1,,-27.8,,-21.9,,39.9,,0,,,,,,1.1,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-14,2021,2,14,,-20.4,,-28.8,,-24.6,,42.6,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-15,2021,2,15,,-9.3,,-25.7,,-17.5,,35.5,,0,,,,,,1.2,,,,28,,47,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-16,2021,2,16,,-1.8,,-17.1,,-9.4,,27.4,,0,,,,,,1.2,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-17,2021,2,17,,-6.8,,-13.9,,-10.4,,28.4,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-18,2021,2,18,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-19,2021,2,19,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-20,2021,2,20,,0.6,,-6.2,,-2.8,,20.8,,0,,,,,,0,,,,28,,64,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-21,2021,2,21,,8.4,,-2.7,,2.8,,15.2,,0,,,,,,0,,,,29,,74,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-22,2021,2,22,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-23,2021,2,23,,-0.3,,-7.7,,-4,,22,,0,,,,,,0,,,,30,,40,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-24,2021,2,24,,1.1,,-10,,-4.4,,22.4,,0,,,,,,0,,,,25,,33,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2021-02-25,2021,2,25,,4.7,,-3.5,,0.6,,17.4,,0,,,,,,0,,,,30,,70,
